school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
ALBERT LUDIDI PRIMARY SCHOOL,28.788909912109375,-31.029579162597656,Primary,ZAF,10467b14-d17f-3836-baf8-4bd246747437,
ALBERT MABE,30.98539924621582,-23.585771560668945,Primary,ZAF,cd8b282d-0dcc-3946-b82b-31ef2a7ee2c4,
ALBERT MOROKA,26.816556930541992,-29.224868774414062,Secondary,ZAF,654c8511-18f4-318e-adac-e909fc9e1d8b,
ALBERT MYBURGH SEKONDﾊRE SKOOL,20.0506649017334,-34.53010559082031,Secondary,ZAF,9c4fce24-5e31-3800-b2fa-8ae2de8dbd25,
ALBERTON HIGH SCHOOL,28.117373,-26.28169,Secondary,ZAF,32cc4e74-3428-3b9f-91c1-9616470a5988,
ALBERTON PRIMARY SCHOOL,28.12316131591797,-26.267810821533203,Primary,ZAF,426daa2a-6851-3303-9e3c-86d8f257f02b,
ALBERT SECONDARY SCHOOL,29.7712,-30.6826,Secondary,ZAF,959f94a0-b98e-3b67-bff1-9bb6d292fc89,
ALBERVIEW PRIMARY SCHOOL,28.114253997802734,-26.282421112060547,Primary,ZAF,53930848-b5df-3878-8924-3471387acf76,
ALBINI HIGH SCHOOL,30.68720054626465,-29.835599899291992,Secondary,ZAF,9f6b41da-0ea0-322c-b096-98fbd3dc7bdc,
ALDINVILLE SENIOR PRIMARY SCHOOL,31.252500534057617,-29.389299392700195,Primary,ZAF,0eab6bf2-67b2-3626-96f6-cfbcaba35526,
ALENCON PRIMARY SCHOOL,30.899599075317383,-29.904499053955078,Primary,ZAF,3a0f7a88-b06f-33d3-bb7a-a9b245ddad9d,
ALEXANDER ROAD HIGH SCHOOL,25.571809768676758,-33.941471099853516,Secondary,ZAF,5cb0402d-148b-39c7-a253-b6ca45a4f4a8,
ALEXANDER SINTON SECONDARY,18.512441635131836,-33.975772857666016,Secondary,ZAF,1d9323dc-ea03-3e6c-928b-63f9b3aea0da,
ALEXANDRA HIGH SCHOOL,30.388599395751953,-29.61680030822754,Secondary,ZAF,c24ccf85-35fb-3a64-abc9-2a8e21cd0bae,
ALEXANDRA SECONDARY SCHOOL,28.087692260742188,-26.10382843017578,Secondary,ZAF,567c56a5-625c-3726-815b-273d0223c4f2,
ALEXANDRIA FULL SERVICE SCHOOL,26.415529251098633,-33.65010070800781,Primary,ZAF,003d9138-a5a6-3b38-b667-39fad5154369,
ALEXANDRIA HIGH SCHOOL,26.40867042541504,-33.654109954833984,Primary And Secondary,ZAF,4bbf43bd-46a3-383e-81b9-2bbaa6cd69ff,
ALEXANDRIA PRIMARY SCHOOL,31.1562,-24.9557,Primary,ZAF,51a8e766-9a53-3dbf-bf3f-3df660ee8711,
ALEX BENJAMIN SECONDARY SCHOOL,27.868520736694336,-26.414329528808594,Primary,ZAF,93d532d7-8060-3ce0-8ba1-60b72604667c,
ALEX JAYIYA PRIMARY SCHOOL,25.393299102783203,-33.805110931396484,Primary,ZAF,6cdd89f4-c661-3f29-bfd6-37c2f40ebc14,
ALEX MANABENG MAMPANA PRIMARY,29.20401954650879,-25.8245792388916,Primary,ZAF,03f8cd39-a5b9-36c8-971a-4466855db0f6,
ALF MAKALENG,29.352821350097656,-23.8477725982666,Primary,ZAF,efbe845f-9c96-31c9-8af8-51a7a5eeb6aa,
ALFONSO ARRIES PRIMARY SCHOOL,25.448469161987305,-33.852691650390625,Primary,ZAF,ad15a074-fb44-324e-b819-98553e6402e2,
ALFONS PRIMﾊRE SKOOL,18.880142211914062,-33.65394973754883,Primary,ZAF,d4407995-f8c4-3da0-8e61-133b3366b657,
ALFRED B. MAKAPAN,28.93039,-24.086473,Secondary,ZAF,6ddc1de9-7627-378f-8458-39a492c17cb0,
ALFRED MASIBE,28.94894790649414,-23.939559936523438,Primary,ZAF,968a27e1-c231-369b-a00c-14985e413d1e,
ALFRED MATSHINE COMMERCIAL SCHOOL,31.0215,-24.7177,Secondary,ZAF,a34af655-2e35-36cf-9d3b-59e9aa124726,
Alfred Maubane High School,28.250659942626953,-25.27001953125,Secondary,ZAF,23afdf5a-1d29-30ed-9339-412a1b1dcb4c,
ALFRED NNGWEDZENI,30.74839973449707,-22.871566772460938,Secondary,ZAF,307a4a72-d56f-31b5-be7a-ebfe38389ed4,
ALFRED STAMPER PUBLIC PRIMARY SCHOOL,19.489147186279297,-33.64834976196289,Primary,ZAF,52afe811-159d-3b7a-8dad-e39310b7cf6d,
ALHEIT (NGK) PRIMÊRE SKOOL,20.536760330200195,-28.760379791259766,Primary,ZAF,fc9e95c7-5958-3a85-9362-1c07905b1fb0,
ALHEIT VAN DER MERWE PRIMARY SCHOOL,26.69615,-30.69983,Primary,ZAF,8088a9c8-ce33-3f96-9c1b-698d8edcc00b,
ALICEDALE PRIMARY SCHOOL,18.509349822998047,-33.963809967041016,Primary,ZAF,7035e583-92af-362b-922c-d5a1a9a63bc3,
