school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
AIC CHEMUNGEN SECONDARY SCHOOL,35.35354995727539,0.536270022392273,Secondary,KEN,da9b23ac-cf5b-3ec4-90ef-7ee960592bad,
A.I.C CHEPKEBUGE SECONDARY SCHOOL,34.92599868774414,0.05079000070691109,Secondary,KEN,5c607f57-6cd8-3c82-bcc9-ebb8b58cca5b,
AIC CHEPTWOLIO SECONDARY SCHOOL,35.147499084472656,0.3302299976348877,Secondary,KEN,40b3e42f-0639-36ca-ac5c-297f0012d450,
A.I.C CHESOMBUR MIXED DAY & BOARDING SECONDARY SCH,35.630001068115234,1.3528720140457153,Secondary,KEN,47d0cfc6-3b71-37aa-ae57-ccef2bf78179,
AIC GIRLS SECONDARY SCHOOL KESSUP,35.481998443603516,0.567300021648407,Secondary,KEN,f6b349d7-c332-34e2-a5cc-39374bf00143,
A.I.C ISAAC KOSGEI SECONDARY SCHOOL,36.36040115356445,0.37369999289512634,Secondary,KEN,3ea9d29e-153d-30a9-9350-9a56fa5b2fc9,
AIC ITHAMBWA-NGAO MIXED SECONDARY SCHOOL,38.031517028808594,-1.0775469541549683,Secondary,KEN,3ae9bff0-3c50-3f79-970d-27d9af0046d9,
AIC ITIGO PRIMARY SCHOOL,35.305999755859375,0.5910000205039978,Primary,KEN,f133ec2e-365b-3dc5-a08e-be60d5629682,
A. I. C. ITIGO SECONDARY SCHOOL,35.30839920043945,0.5949792265892029,Secondary,KEN,2463c3b6-84f8-3e44-b41d-6ca172070f13,
AIC IUANI SECONDARY SCHOOL,37.62112045288086,-1.7896499633789062,Secondary,KEN,92f8608c-2113-30d8-9829-9192b19a669b,
A.I.C. KAIGAT SECONDARY SCHOOL,35.14899826049805,0.48919999599456787,Secondary,KEN,d09a52eb-8067-327f-bd40-0a100c2a1618,
AIC KAMALE SECONDARY SCHOOL,38.08881759643555,-1.4531840085983276,Secondary,KEN,ccbd375b-f22f-38d2-92bf-28f11e754e9f,
AIC KAMORET SECONDARY SCHOOL,35.16109848022461,0.3039900064468384,Secondary,KEN,8db992c2-c036-33a9-bf88-782a7f678e62,
AIC KAPKEI SECONDARY SCHOOL,35.439762115478516,0.5421770215034485,Secondary,KEN,40d7c295-466e-3008-8ae4-3266c006f810,
AIC KAPKELELWA SECONDARY SCHOOL,35.71696090698242,0.36928999423980713,Secondary,KEN,0c393214-bf9f-3a17-82ee-ed0aabf92ded,
A.I.C KAPKOI SISAL SECONDARY SCHOOL,35.113861083984375,0.8859400153160095,Secondary,KEN,4f058c4b-2a69-3d0c-adc9-fa2bd25b361d,
AIC KAPTUMO SECONDARY SCHOOL,35.3992805480957,0.34556999802589417,Secondary,KEN,3933c636-2ec8-3355-adba-7f93f949b755,
AIC KAVOLOI SECONDARY SCHOOL,37.93000030517578,-1.100000023841858,Secondary,KEN,0c8ec164-4c01-334e-96ae-b4ac03c12080,
A.I.C KECHIRE SECONDARY SCHOOL,35.0076904296875,0.1798900067806244,Secondary,KEN,e3c430e9-e2de-3325-a70d-507a829b3825,
AIC KIBORGOK GIRLS SECONDARY SCHOOL,34.972900390625,0.19878999888896942,Secondary,KEN,bd856671-32aa-3c26-9205-da49717db2d3,
A I C KIKAMBUANI SECONDARY SCHOOL,37.382999420166016,-1.2913399934768677,Secondary,KEN,5c88353e-b1cd-3cf2-b746-8d4c6e5225b0,
A.I.C KILUKA MIXED DAY SECONDARY,35.43190002441406,0.40676000714302063,Secondary,KEN,18ca8319-4d28-3430-8b60-b2b4888eba2d,
AIC KIMONG' SECONDARY SCHOOL,35.023399353027344,0.4485200047492981,Secondary,KEN,3753d017-784c-3821-b122-dd30b012ca5a,
AIC KIPKEIKEI BOYS HIGH SCHOOL,35.212608337402344,1.0114699602127075,Secondary,KEN,22066b8d-6cf8-3c34-8adc-4fb19ac8fb03,
